<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
ROSN;0;20140425;095959;225.020000000;10
ROSN;0;20140425;095959;225.020000000;20
ROSN;0;20140425;095959;225.020000000;980
ROSN;0;20140425;095959;225.020000000;40
ROSN;0;20140425;095959;225.020000000;500
ROSN;0;20140425;095959;225.020000000;10
ROSN;0;20140425;100000;225.000000000;200
ROSN;0;20140425;100000;225.000000000;10
ROSN;0;20140425;100001;225.000000000;10
ROSN;0;20140425;100003;224.770000000;10
ROSN;0;20140425;100003;224.770000000;400
ROSN;0;20140425;100003;224.600000000;10
ROSN;0;20140425;100004;224.500000000;20
ROSN;0;20140425;100004;224.420000000;20
ROSN;0;20140425;100005;224.540000000;30
ROSN;0;20140425;100008;224.560000000;20
ROSN;0;20140425;100008;224.530000000;10
ROSN;0;20140425;100010;224.640000000;900
ROSN;0;20140425;100010;224.670000000;2100
ROSN;0;20140425;100016;224.660000000;10
ROSN;0;20140425;100016;224.670000000;900
ROSN;0;20140425;100016;224.780000000;2090
ROSN;0;20140425;100022;224.770000000;300
ROSN;0;20140425;100022;224.790000000;50
ROSN;0;20140425;100022;224.820000000;530
ROSN;0;20140425;100022;225.000000000;120
ROSN;0;20140425;100022;225.300000000;340
ROSN;0;20140425;100022;225.320000000;1660
ROSN;0;20140425;100022;224.500000000;910
ROSN;0;20140425;100022;224.310000000;2090
ROSN;0;20140425;100023;224.850000000;50
ROSN;0;20140425;100023;224.840000000;50
ROSN;0;20140425;100026;224.650000000;50
ROSN;0;20140425;100026;224.530000000;10
ROSN;0;20140425;100026;224.520000000;540
ROSN;0;20140425;100032;224.830000000;100
ROSN;0;20140425;100032;224.830000000;450
ROSN;0;20140425;100032;224.840000000;200
ROSN;0;20140425;100032;224.850000000;250
ROSN;0;20140425;100032;224.880000000;200
ROSN;0;20140425;100032;225.070000000;910
ROSN;0;20140425;100032;225.080000000;990
ROSN;0;20140425;100035;224.780000000;50
ROSN;0;20140425;100035;224.650000000;40
ROSN;0;20140425;100036;224.850000000;40
ROSN;0;20140425;100037;224.650000000;900
ROSN;0;20140425;100037;224.640000000;2100
ROSN;0;20140425;100042;224.850000000;100
ROSN;0;20140425;100044;224.650000000;100
ROSN;0;20140425;100044;224.640000000;400
ROSN;0;20140425;100045;224.840000000;900
ROSN;0;20140425;100045;224.840000000;500
ROSN;0;20140425;100045;224.850000000;100
ROSN;0;20140425;100045;224.880000000;500
ROSN;0;20140425;100046;224.650000000;300
ROSN;0;20140425;100051;224.720000000;600
ROSN;0;20140425;100057;224.870000000;200
ROSN;0;20140425;100059;224.950000000;40
ROSN;0;20140425;100059;224.950000000;40
ROSN;0;20140425;100059;224.970000000;40
ROSN;0;20140425;100100;224.980000000;40
ROSN;0;20140425;100101;224.860000000;260
ROSN;0;20140425;100101;224.870000000;200
ROSN;0;20140425;100101;225.000000000;440
ROSN;0;20140425;100104;224.700000000;180
ROSN;0;20140425;100105;224.750000000;10
ROSN;0;20140425;100106;224.780000000;40
ROSN;0;20140425;100106;224.790000000;1000
ROSN;0;20140425;100106;224.790000000;40
ROSN;0;20140425;100120;224.800000000;1200
ROSN;0;20140425;100120;224.800000000;1800
ROSN;0;20140425;100120;224.820000000;100
ROSN;0;20140425;100120;224.820000000;100
ROSN;0;20140425;100120;224.810000000;100
ROSN;0;20140425;100121;224.750000000;100
ROSN;0;20140425;100121;224.700000000;220
ROSN;0;20140425;100121;224.700000000;780
ROSN;0;20140425;100121;224.620000000;10
ROSN;0;20140425;100121;224.620000000;30
ROSN;0;20140425;100121;224.620000000;440
ROSN;0;20140425;100121;224.620000000;400
ROSN;0;20140425;100121;224.620000000;120
ROSN;0;20140425;100121;224.620000000;100
ROSN;0;20140425;100121;224.730000000;800
ROSN;0;20140425;100121;224.740000000;1880
ROSN;0;20140425;100121;224.510000000;100
ROSN;0;20140425;100121;224.510000000;800
ROSN;0;20140425;100121;224.500000000;400
ROSN;0;20140425;100121;224.500000000;100
ROSN;0;20140425;100121;224.430000000;10
ROSN;0;20140425;100121;224.420000000;190
ROSN;0;20140425;100121;224.350000000;100
ROSN;0;20140425;100122;224.340000000;200
ROSN;0;20140425;100123;224.430000000;50
ROSN;0;20140425;100123;224.500000000;20
ROSN;0;20140425;100123;224.510000000;80
ROSN;0;20140425;100125;224.370000000;100
ROSN;0;20140425;100126;224.360000000;300
ROSN;0;20140425;100139;224.330000000;10
ROSN;0;20140425;100139;224.320000000;40
ROSN;0;20140425;100140;224.320000000;10
ROSN;0;20140425;100143;224.310000000;1000
ROSN;0;20140425;100147;224.480000000;100
ROSN;0;20140425;100147;224.490000000;910
ROSN;0;20140425;100147;224.500000000;990
ROSN;0;20140425;100147;224.490000000;10
ROSN;0;20140425;100147;224.500000000;2500
ROSN;0;20140425;100147;224.500000000;10
ROSN;0;20140425;100152;224.380000000;90
ROSN;0;20140425;100205;224.500000000;2000
ROSN;0;20140425;100206;224.670000000;160
ROSN;0;20140425;100206;224.670000000;200
ROSN;0;20140425;100206;224.670000000;1640
ROSN;0;20140425;100207;224.440000000;400
ROSN;0;20140425;100208;224.700000000;90
ROSN;0;20140425;100208;224.710000000;390
ROSN;0;20140425;100208;224.720000000;2520
ROSN;0;20140425;100218;224.590000000;120
ROSN;0;20140425;100218;224.580000000;280
ROSN;0;20140425;100221;224.730000000;120
ROSN;0;20140425;100221;224.740000000;280
ROSN;0;20140425;100221;224.750000000;200
ROSN;0;20140425;100221;224.750000000;300
ROSN;0;20140425;100221;224.750000000;100
ROSN;0;20140425;100229;224.590000000;120
ROSN;0;20140425;100229;224.580000000;570
ROSN;0;20140425;100239;224.730000000;120
ROSN;0;20140425;100239;224.750000000;900
ROSN;0;20140425;100239;224.750000000;300
ROSN;0;20140425;100239;224.750000000;500
ROSN;0;20140425;100239;224.750000000;300
ROSN;0;20140425;100239;224.750000000;100
ROSN;0;20140425;100239;224.750000000;100
ROSN;0;20140425;100239;224.750000000;200
ROSN;0;20140425;100239;224.750000000;300
ROSN;0;20140425;100239;224.970000000;100
ROSN;0;20140425;100239;225.000000000;80
ROSN;0;20140425;100240;224.820000000;80
ROSN;0;20140425;100240;224.820000000;20
ROSN;0;20140425;100248;224.990000000;100
ROSN;0;20140425;100309;224.880000000;40
ROSN;0;20140425;100319;224.980000000;60
ROSN;0;20140425;100322;224.870000000;20
ROSN;0;20140425;100322;224.880000000;440
ROSN;0;20140425;100330;224.880000000;40
ROSN;0;20140425;100336;224.870000000;10
ROSN;0;20140425;100338;224.870000000;40
ROSN;0;20140425;100338;224.880000000;60
ROSN;0;20140425;100340;224.860000000;10
ROSN;0;20140425;100342;224.860000000;10
ROSN;0;20140425;100349;224.860000000;260
ROSN;0;20140425;100349;224.860000000;220
ROSN;0;20140425;100349;224.850000000;20
ROSN;0;20140425;100353;224.580000000;10
ROSN;0;20140425;100353;224.580000000;10
ROSN;0;20140425;100353;224.580000000;80
ROSN;0;20140425;100400;224.540000000;100
ROSN;0;20140425;100407;224.540000000;200
ROSN;0;20140425;100408;224.540000000;40
ROSN;0;20140425;100408;224.510000000;60
ROSN;0;20140425;100410;224.520000000;100
ROSN;0;20140425;100411;224.520000000;100
ROSN;0;20140425;100411;224.520000000;30
ROSN;0;20140425;100411;224.510000000;70
ROSN;0;20140425;100411;224.520000000;10
ROSN;0;20140425;100411;224.510000000;90
ROSN;0;20140425;100411;224.510000000;100
ROSN;0;20140425;100425;224.580000000;100
ROSN;0;20140425;100437;224.680000000;240
ROSN;0;20140425;100456;224.580000000;180
ROSN;0;20140425;100458;224.580000000;1000
ROSN;0;20140425;100459;224.580000000;100
ROSN;0;20140425;100514;224.600000000;1000
ROSN;0;20140425;100514;224.770000000;40
ROSN;0;20140425;100514;224.770000000;210
ROSN;0;20140425;100514;224.600000000;100
ROSN;0;20140425;100544;224.610000000;10
ROSN;0;20140425;100544;224.600000000;90
ROSN;0;20140425;100602;224.770000000;300
ROSN;0;20140425;100602;224.780000000;50
ROSN;0;20140425;100602;224.960000000;130
ROSN;0;20140425;100603;224.770000000;120
ROSN;0;20140425;100603;224.740000000;880
ROSN;0;20140425;100603;224.950000000;250
ROSN;0;20140425;100608;224.750000000;100
ROSN;0;20140425;100627;224.750000000;140
ROSN;0;20140425;100627;224.750000000;10
ROSN;0;20140425;100627;224.750000000;330
ROSN;0;20140425;100628;224.790000000;100
ROSN;0;20140425;100649;224.790000000;10
ROSN;0;20140425;100708;224.790000000;500
ROSN;0;20140425;100708;224.790000000;180
ROSN;0;20140425;100738;224.660000000;100
ROSN;0;20140425;100746;224.660000000;100
ROSN;0;20140425;100817;224.670000000;10
ROSN;0;20140425;100817;224.660000000;90
ROSN;0;20140425;100822;224.660000000;100
ROSN;0;20140425;100822;224.760000000;100
ROSN;0;20140425;100827;224.710000000;130
ROSN;0;20140425;100828;224.670000000;220
ROSN;0;20140425;100834;224.660000000;50
ROSN;0;20140425;100834;224.770000000;100
ROSN;0;20140425;100835;224.660000000;70
ROSN;0;20140425;100835;224.660000000;130
ROSN;0;20140425;100836;224.660000000;100
ROSN;0;20140425;100836;224.660000000;100
ROSN;0;20140425;100836;224.770000000;100
ROSN;0;20140425;100836;224.660000000;170
ROSN;0;20140425;100836;224.650000000;30
ROSN;0;20140425;100836;224.660000000;10
ROSN;0;20140425;100836;224.610000000;100
ROSN;0;20140425;100836;224.610000000;300
ROSN;0;20140425;100836;224.650000000;150
ROSN;0;20140425;100836;224.610000000;710
ROSN;0;20140425;100836;224.600000000;1810
ROSN;0;20140425;100836;224.600000000;20
ROSN;0;20140425;100836;224.600000000;120
ROSN;0;20140425;100836;224.640000000;500
ROSN;0;20140425;100836;224.570000000;10
ROSN;0;20140425;100836;224.570000000;10
ROSN;0;20140425;100836;224.530000000;10
ROSN;0;20140425;100836;224.530000000;30
ROSN;0;20140425;100836;224.520000000;240
ROSN;0;20140425;100836;224.630000000;240
