<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
VTBR;0;20140425;095959;0.037800000;20000
VTBR;0;20140425;095959;0.037800000;1480000
VTBR;0;20140425;095959;0.037800000;50000
VTBR;0;20140425;095959;0.037800000;470000
VTBR;0;20140425;095959;0.037800000;1000000
VTBR;0;20140425;095959;0.037800000;500000
VTBR;0;20140425;095959;0.037800000;50000
VTBR;0;20140425;095959;0.037800000;500000
VTBR;0;20140425;095959;0.037800000;3480000
VTBR;0;20140425;095959;0.037800000;1460000
VTBR;0;20140425;095959;0.037800000;2120000
VTBR;0;20140425;095959;0.037800000;20000
VTBR;0;20140425;095959;0.037800000;2920000
VTBR;0;20140425;095959;0.037800000;10000000
VTBR;0;20140425;095959;0.037800000;1000000
VTBR;0;20140425;095959;0.037800000;2500000
VTBR;0;20140425;095959;0.037800000;10000
VTBR;0;20140425;095959;0.037800000;1000000
VTBR;0;20140425;095959;0.037800000;20000000
VTBR;0;20140425;095959;0.037800000;10000
VTBR;0;20140425;095959;0.037800000;3000000
VTBR;0;20140425;095959;0.037800000;9560000
VTBR;0;20140425;100000;0.037830000;740000
VTBR;0;20140425;100001;0.037880000;10000
VTBR;0;20140425;100001;0.037890000;150000
VTBR;0;20140425;100001;0.037840000;3670000
VTBR;0;20140425;100001;0.037830000;1330000
VTBR;0;20140425;100001;0.037840000;10000
VTBR;0;20140425;100001;0.037830000;990000
VTBR;0;20140425;100002;0.037830000;2000000
VTBR;0;20140425;100002;0.037810000;1500000
VTBR;0;20140425;100003;0.037850000;80000
VTBR;0;20140425;100003;0.037850000;80000
VTBR;0;20140425;100004;0.037850000;10000
VTBR;0;20140425;100005;0.037810000;160000
VTBR;0;20140425;100005;0.037810000;10000
VTBR;0;20140425;100005;0.037800000;12490000
VTBR;0;20140425;100005;0.037800000;1090000
VTBR;0;20140425;100006;0.037800000;6960000
VTBR;0;20140425;100006;0.037810000;20000
VTBR;0;20140425;100007;0.037800000;400000
VTBR;0;20140425;100007;0.037800000;380000
VTBR;0;20140425;100008;0.037800000;80000
VTBR;0;20140425;100008;0.037800000;5500000
VTBR;0;20140425;100009;0.037800000;80000
VTBR;0;20140425;100009;0.037800000;100000
VTBR;0;20140425;100010;0.037800000;40000000
VTBR;0;20140425;100010;0.037800000;1000000
VTBR;0;20140425;100010;0.037800000;2000000
VTBR;0;20140425;100011;0.037800000;60000000
VTBR;0;20140425;100011;0.037800000;10000000
VTBR;0;20140425;100012;0.037800000;100000
VTBR;0;20140425;100012;0.037800000;2000000
VTBR;0;20140425;100012;0.037800000;10000000
VTBR;0;20140425;100012;0.037800000;3000000
VTBR;0;20140425;100012;0.037800000;1100000
VTBR;0;20140425;100012;0.037800000;1100000
VTBR;0;20140425;100012;0.037800000;1000000
VTBR;0;20140425;100012;0.037800000;3700000
VTBR;0;20140425;100012;0.037800000;3900000
VTBR;0;20140425;100013;0.037800000;1200000
VTBR;0;20140425;100014;0.037800000;3260000
VTBR;0;20140425;100014;0.037800000;270000
VTBR;0;20140425;100014;0.037800000;660000
